NICCode,Description
98200,Undifferentiated service-producing activities of private households for own use
98100,Undifferentiated goods-producing activities of private households for own use
97000,Activities of households as employers of domestic personnel
96908,"General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc."
96907,"Activities of aaya, dhai, governess, baby sitter etc."
96906,Astrological and spiritualists’ activities
96905,"Activities of sauna and steam baths, massage salons etc."
96904,"Coin-operated personal service machines such as photo booths, weighing machines, blood pressure checking machines etc."
96903,"Shoe shiners, porters, valet car parkers etc."
96092,"Pet care services such as boarding, grooming and training pets etc."
96091,"Social activities such as escort services, marriage bureaus"
96090,Other personal service activities n.e.c.
96030,Funeral and related activities
96020,Hairdressing and other beauty treatment
96010,Washing and (dry-) cleaning of textile and fur products
95494,Motor driving school (non-professional)
95299,Repair of other personal and household goods n.e.c.
95295,Repair of musical instruments
95294,"Repair of watches, clocks and their parts"
95293,Repair and alteration of jewellery
95292,Repair and alteration of clothing
95291,Repair of bicycles
95290,"Repair of personal and household goods, n.e.c."
95240,Repair of furniture and home furnishings
95230,Repair of footwear and leather goods
95222,"Repair and servicing of home and garden equipment such lawn mowerrs, edgers, trimmers etc."
95221,"Repair and servicing of household appliances ( refrigerators, stoves, washing machines, clothes dryers, room air conditioners, etc. )"
95210,Repair of consumer electronics
95120,Repair of communication equipment
95112,"Repair and maintenance of automated terminals like automatic teller machines, point-of-sale (POS) terminals, not mechanically operated"
56291,Activities of food service contractors (e.g. for transportation companies)
56290,Other food service activities
56210,Event catering
56104,"Restaurant and bar activities connected to transportation, when carried out by separate units"
56103,"Ice cream mobile vendors, mobile food carts"
56102,"Cafeterias, fast-food restaurants and other food preparation in market stalls"
56101,Restaurants without bars
56100,Restaurants and mobile food service activities
55902,Worker hostels and boarding houses
55901,"Accommodation provided by student residences, school dormitories"
55900,Other accommodation
55200,"Camping grounds, recreational vehicle parks and trailer parks"
55109,"Provision of short stay accommodation n.e.c. (e.g. holiday homes, private"
55102,"Provision of short term lodging facilities to members of a particular organisition such as govt. guest houses, company guest houses, circuit houses and similar establishments"
55101,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats"
55100,Short term accommodation activities
53200,Courier activities
53100,Postal activities
52294,Weighing of goods
52293,Activities of movers and packers
52292,Activities of shipping cargo agents
52291,Activities of travel agents and tour operators
52290,Other transportation support activities
52243,Cargo handling incidental to air transport
52242,Cargo handling incidental to water transport
52241,Cargo handling incidental to land transport
52240,Cargo handling
